transition_path,typology_2023,year,sdi,obs_rate,expected_rate,excess_rate,excess_ratio,hap_pm_pw,pm25_pw,tavg_pw_C,ah_pw,outside_rh_days_pw,clean_cooking_pct,basic_water_pct,basic_sanitation_pct,dpt_pct,hib3_pct,pcv3_pct,uhc_index,stunting_u5_pct,wasting_u5_pct,hiv_15_49_pct,tb_incidence_per100k,current_health_expenditure_pc_usd,nurses_midwives_per1000,physicians_per1000
"2000 high observed + high excess -> High excess, not high observed",high_excess_not_high_observed,2000,0.5569479153333333,19020.98844018084,10405.663284776281,8615.32515540456,1.8563999980967927,127.19495248163179,32.22679104353177,17.80682318201714,10.242341707902092,306.33384871339985,70.7,84.56373156311992,72.08351375612425,84.5,15.0,,63.0,23.366666666666664,6.033333333333334,0.15,80.16666666666667,198.857795334,3.77275,2.0393333333333334
"2000 high observed + high excess -> High excess, not high observed",high_excess_not_high_observed,2010,0.6234982798333334,10390.028282661553,7696.58393829385,2693.444344367703,1.3656432732844344,61.588132350389145,34.55734483886068,19.036210240492437,10.950732308027538,299.5461776478471,87.0,90.4362998542844,83.63500614643621,88.66666666666667,46.5,19.5,68.16666666666667,9.4,2.3,0.175,66.5,415.2620900483333,3.19225,1.9388
"2000 high observed + high excess -> High excess, not high observed",high_excess_not_high_observed,2023,0.7042062546666666,5921.017738527833,4540.7237989181585,1380.2939396096747,1.3219205802563356,36.302257099673675,28.60975997543225,19.180927391426078,11.038469943666373,297.7646780051783,95.78,96.63482135802313,97.31172590806553,80.0,64.33333333333333,50.333333333333336,74.0,10.25,2.4,0.25,36.0,535.8240051266666,5.502,2.357
2000 high observed + high excess -> High observed + high excess,high_observed_high_excess,2000,0.45278821175,22194.507668550144,14317.541401844412,7876.966266705737,1.5828047181487301,206.88779402539285,36.806630930779185,21.65116854705521,13.364485106214198,296.16914488614634,36.55833333333333,77.12020870918887,41.85319606637734,69.0,13.636363636363637,,41.916666666666664,31.5,8.7,6.09,444.8181818181818,105.27493832363635,1.50925,0.6853333333333333
2000 high observed + high excess -> High observed + high excess,high_observed_high_excess,2010,0.5022730579166667,17584.191087230345,12222.453470646338,5361.737616584005,1.495579568297007,180.50888874857432,33.40842957485234,22.489278714651714,13.867688705707494,294.35208780603534,45.76666666666667,80.64190146850945,50.48478645382253,81.41666666666667,48.583333333333336,4.833333333333333,51.666666666666664,,,6.35,503.8333333333333,204.04558356666666,1.0736666666666668,0.478375
2000 high observed + high excess -> High observed + high excess,high_observed_high_excess,2023,0.591757046,11168.724824685347,8122.5171675980555,3046.207657087292,1.4161666123783225,137.1051083311287,31.426877503457803,22.63594801894773,13.869247331881612,289.71694606046543,62.50833333333333,87.94043965314847,66.41311732433196,85.25,85.08333333333333,70.66666666666667,61.75,15.7,1.3,5.0600000000000005,307.4166666666667,362.5304654433333,2.273,0.3345
"2000 high observed + high excess -> High observed, not high excess",high_observed_not_high_excess,2000,0.30101609383333333,26227.296463885767,19184.793361727327,7042.50310215844,1.3729813246364977,307.25931899008543,31.139515134738094,21.355009812179087,13.623981979640538,302.83036108279464,6.447222222222222,53.79960284599751,21.815098840083404,62.55555555555556,0.0,,28.0,48.33636363636364,9.881818181818183,4.288235294117648,477.05882352941177,19.218657075625,2.0525,0.07050000000000001
"2000 high observed + high excess -> High observed, not high excess",high_observed_not_high_excess,2010,0.3572772819444444,19794.994045759333,17116.90961868173,2678.084427077605,1.1726564331004075,291.0196987124199,31.311100906963603,22.09751967026905,14.17961121458278,297.02592093038925,10.88888888888889,60.4901273394332,34.0725412989764,80.55555555555556,66.27777777777777,5.388888888888889,40.888888888888886,44.010000000000005,7.38,3.576470588235294,358.47058823529414,53.75964355529412,0.4984,0.16471428571428573
"2000 high observed + high excess -> High observed, not high excess",high_observed_not_high_excess,2023,0.4378867731111111,10240.908950792169,13202.252831971684,-2961.3438811795127,0.7890588315948521,270.0481552398271,29.92807185680974,22.598153491986018,14.406938068840649,297.9723235354264,19.005555555555556,70.53857039924854,49.597452697617214,76.72222222222223,76.72222222222223,64.72222222222223,49.888888888888886,41.56666666666667,5.633333333333333,2.652941176470588,193.05882352941177,66.33095483235294,1.5862499999999997,0.41742857142857137
2000 high observed + high excess -> Neither,not_high_observed_or_excess,2000,0.4528514,19080.362224073888,14339.526790249349,4740.835433824541,1.355880410716829,166.940499804903,35.407857640476315,21.797822978088842,15.734625222411486,344.08818446035286,39.32857142857143,64.37205563019236,44.19791392368067,61.857142857142854,6.142857142857143,,40.57142857142857,35.7,5.1499999999999995,1.8833333333333335,324.42857142857144,47.59995801,,
2000 high observed + high excess -> Neither,not_high_observed_or_excess,2010,0.5262940997142858,12411.54531959422,11311.293835549852,1100.2514840443653,1.1446558614030968,111.80939577462485,30.031783063442028,22.59803619969787,16.328484076788765,342.7432827610746,54.028571428571425,73.4006783109526,54.20284824559061,75.85714285714286,63.57142857142857,10.571428571428571,49.857142857142854,23.0,2.4,1.7,302.7142857142857,155.91553279285716,0.829,0.4125
2000 high observed + high excess -> Neither,not_high_observed_or_excess,2023,0.6136420961428571,6323.289923479394,7355.594946212418,-1032.3050227330236,0.8964644041934857,87.6256641601793,29.227052928018743,23.191922064578,16.721103385166458,341.7838073846728,70.34285714285714,88.03347522380002,79.3240541578669,76.28571428571429,76.28571428571429,43.0,55.714285714285715,14.85,2.5,1.4333333333333333,242.14285714285714,216.17957959714286,1.8035,1.688
