typology_2010,typology_2023,n_locations
high_excess_not_high_observed,high_excess_not_high_observed,27
high_excess_not_high_observed,high_observed_high_excess,6
high_excess_not_high_observed,not_high_observed_or_excess,3
high_observed_high_excess,high_excess_not_high_observed,3
high_observed_high_excess,high_observed_high_excess,13
high_observed_high_excess,high_observed_not_high_excess,13
high_observed_high_excess,not_high_observed_or_excess,3
high_observed_not_high_excess,high_observed_high_excess,2
high_observed_not_high_excess,high_observed_not_high_excess,26
high_observed_not_high_excess,not_high_observed_or_excess,8
not_high_observed_or_excess,high_excess_not_high_observed,15
not_high_observed_or_excess,high_observed_high_excess,2
not_high_observed_or_excess,high_observed_not_high_excess,6
not_high_observed_or_excess,not_high_observed_or_excess,76
