file_name,variable_name,description,unit,allowed_values,missing_value_code
01_location_year_benchmark_2000_2023.csv,location_id,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,location_name,Country or territory name,text,,blank/NA
01_location_year_benchmark_2000_2023.csv,iso3,ISO3 location code,text,,blank/NA
01_location_year_benchmark_2000_2023.csv,year,Calendar year,year,,blank/NA
01_location_year_benchmark_2000_2023.csv,sdi,Socio-demographic Index,unitless,,blank/NA
01_location_year_benchmark_2000_2023.csv,sdi_quintile,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,observed_lri_u5_rate,Observed under-5 LRI incidence rate,"per 100,000 population",,blank/NA
01_location_year_benchmark_2000_2023.csv,expected_lri_u5_rate,SDI-year expected under-5 LRI incidence rate,"per 100,000 population",,blank/NA
01_location_year_benchmark_2000_2023.csv,excess_lri_u5_rate,Observed minus expected under-5 LRI incidence rate,"per 100,000 population",,blank/NA
01_location_year_benchmark_2000_2023.csv,oe_ratio,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,log_oe_ratio,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,high_observed_threshold,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,high_excess_threshold,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,high_observed,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,high_excess,Variable from source table,,,blank/NA
01_location_year_benchmark_2000_2023.csv,burden_profile,Development-year burden profile,category,Double-high; Structural high; Excess-only; Neither,blank/NA
02_profile_2023_location_level.csv,location_id,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,location_name,Country or territory name,text,,blank/NA
02_profile_2023_location_level.csv,iso3,ISO3 location code,text,,blank/NA
02_profile_2023_location_level.csv,sdi_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,observed_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,expected_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,excess_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,oe_ratio_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,high_observed_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,high_excess_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,burden_profile_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,high_excess_years_2000_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,marked_adverse_domains_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,n_marked_domains_2023,Variable from source table,,,blank/NA
02_profile_2023_location_level.csv,dominant_adverse_domain_2023,Variable from source table,,,blank/NA
03_profile_summary_2023.csv,profile,Variable from source table,,,blank/NA
03_profile_summary_2023.csv,number_of_locations,Variable from source table,,,blank/NA
03_profile_summary_2023.csv,observed_mean,Variable from source table,,,blank/NA
03_profile_summary_2023.csv,expected_mean,Variable from source table,,,blank/NA
