iso3,location_name,profile_2000,profile_2023,transition_pathway,Stable 2023 profile from,"High-observed years, 2000-2023","High-excess years, 2000-2023",sdi_2000,sdi_2023,sdi_change,observed_2000,observed_2023,observed_decline,expected_2000,expected_2023,expected_decline,excess_2000,excess_2023,residual_excess_decline,Household energy/HAP_delta_z,Ambient PM2.5_delta_z,Climate/transmission_delta_z,WASH_delta_z,Immunisation/UHC_delta_z,HIV/TB_delta_z,Nutrition_delta_z,Health resources_delta_z,Residual-vs-benchmark change pattern,Largest relative lag domains,Largest relative catch-up domains,included_in_full_transition,included_in_2000_double_high_cohort,residual_share_of_observed_decline
BOL,Bolivia (Plurinational State of),Double-high,Double-high,Double-high -> Double-high,2022,20,21,0.493,0.632,0.139,22501.197,7440.208,15060.989,12936.123,6703.437,6232.687,9565.074,736.771,8828.303,1.485,-2.426,0.478,1.401,2.226,-0.054,,0.223,residual compression exceeded benchmark decline,Immunisation/UHC +2.23; Household energy/HAP +1.48; WASH +1.40,Ambient PM2.5 -2.43; HIV/TB -0.05,1,1,0.5861702043604176
EGY,Egypt,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.521,0.677,0.156,23828.34,8248.988,15579.352,11828.052,5308.042,6520.01,12000.288,2940.946,9059.341,1.291,0.216,0.316,1.26,0.869,0.001,,1.036,residual compression exceeded benchmark decline,Household energy/HAP +1.29; WASH +1.26; Health resources +1.04,,1,1,0.5814966501815994
IND,India,Double-high,Double-high,Double-high -> Double-high,2022,24,13,0.404,0.607,0.203,19525.147,8613.161,10911.986,16231.79,7524.701,8707.089,3293.357,1088.46,2204.897,-0.716,1.229,0.093,-0.506,-0.846,-0.042,,0.002,residual compression lagged benchmark decline,Ambient PM2.5 +1.23; Climate/transmission +0.09; Health resources +0.00,Immunisation/UHC -0.85; Household energy/HAP -0.72; WASH -0.51,1,1,0.20206193446362558
KEN,Kenya,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.386,0.549,0.163,31573.04,14302.638,17270.402,16859.547,9539.32,7320.227,14713.493,4763.318,9950.175,0.502,0.67,0.217,1.452,-0.314,-0.61,,0.28,residual compression exceeded benchmark decline,WASH +1.45; Ambient PM2.5 +0.67; Household energy/HAP +0.50,HIV/TB -0.61; Immunisation/UHC -0.31,1,1,0.5761403237747448
LSO,Lesotho,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.401,0.51,0.109,21299.089,16716.949,4582.14,16349.083,10907.822,5441.261,4950.006,5809.127,-859.121,-1.171,-0.147,-0.763,-0.646,-0.755,1.261,,-1.531,residual excess increased or persisted,HIV/TB +1.26,Health resources -1.53; Household energy/HAP -1.17; Climate/transmission -0.76,1,1,-0.18749339828115247
NAM,Namibia,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.493,0.62,0.127,19082.205,7783.114,11299.091,12925.174,7102.21,5822.963,6157.031,680.904,5476.128,0.564,0.338,0.35,1.142,0.228,-0.762,,1.997,residual compression lagged benchmark decline,Health resources +2.00; WASH +1.14; Household energy/HAP +0.56,HIV/TB -0.76,1,1,0.48465208395967424
NRU,Nauru,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.53,0.626,0.097,17214.065,11446.955,5767.11,11476.104,6880.637,4595.468,5737.961,4566.319,1171.642,0.921,0.325,-0.181,0.938,-1.075,0.517,,1.55,residual compression lagged benchmark decline,Health resources +1.55; WASH +0.94; Household energy/HAP +0.92,Immunisation/UHC -1.07; Climate/transmission -0.18,1,1,0.20315929469006141
NGA,Nigeria,Double-high,Double-high,Double-high -> Double-high,2018,24,13,0.33,0.512,0.182,23483.659,12039.684,11443.975,18615.428,10832.903,7782.525,4868.231,1206.78,3661.45,-1.378,-0.172,0.078,-0.98,-0.079,0.207,,-0.625,residual compression lagged benchmark decline,HIV/TB +0.21; Climate/transmission +0.08,Household energy/HAP -1.38; WASH -0.98; Health resources -0.62,1,1,0.31994564825596
PAK,Pakistan,Double-high,Double-high,Double-high -> Double-high,2000,24,24,0.371,0.513,0.142,23206.854,15356.06,7850.795,17346.226,10805.87,6540.355,5860.629,4550.189,1310.439,-1.351,0.07,0.184,-0.7,-0.9,0.352,,0.498,residual compression lagged benchmark decline,Health resources +0.50; HIV/TB +0.35; Climate/transmission +0.18,Household energy/HAP -1.35; Immunisation/UHC -0.90; WASH -0.70,1,1,0.16691800002420137
PHL,Philippines,Double-high,Double-high,Double-high -> Double-high,2022,20,24,0.551,0.669,0.118,19457.354,8290.458,11166.896,10628.351,5521.374,5106.977,8829.002,2769.083,6059.919,-0.144,-1.019,-0.34,-0.483,-1.34,0.202,,0.241,residual compression exceeded benchmark decline,Health resources +0.24; HIV/TB +0.20,Immunisation/UHC -1.34; Ambient PM2.5 -1.02; WASH -0.48,1,1,0.5426681684865695
