location_name,iso3,domain,adverse_z_2000,adverse_z_2023,delta_adverse_z,catchup_or_lag,profile_2000,profile_2023,transition_pathway
Afghanistan,AFG,Ambient PM2.5,1.172001019179631,0.4681780111101011,-0.70382300806953,catch-up,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,Climate/transmission,-2.0976894085670734,-2.46154440276496,-0.3638549941978866,catch-up,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,HIV/TB,-0.5501824136559199,-0.2681684491497704,0.2820139645061495,lag,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,Health resources,,0.1273166112444057,,stable,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,Household energy/HAP,0.8874189244366121,-0.1477516402904008,-1.0351705647270129,catch-up,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,Immunisation/UHC,0.8953621070672639,0.8300166843355339,-0.06534542273173005,catch-up,Double-high,Structural high,Double-high -> Structural high
Afghanistan,AFG,WASH,1.0368072743240286,-0.4371102136424437,-1.4739174879664723,catch-up,Double-high,Structural high,Double-high -> Structural high
Albania,ALB,Ambient PM2.5,-0.3515060437273185,-0.521471671485872,-0.16996562775855356,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,Climate/transmission,-0.812759957427455,-0.8906569953015588,-0.07789703787410385,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,HIV/TB,-0.4604466663385457,-0.4931265706898211,-0.03267990435127538,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,Health resources,0.2729276233549673,0.0549676934999348,-0.21795992985503249,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,Household energy/HAP,1.066855131232786,0.1559153388918588,-0.9109397923409273,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,Immunisation/UHC,0.2412813900039202,-0.3709581434353198,-0.61223953343924,catch-up,Neither,Neither,Neither -> Neither
Albania,ALB,WASH,-0.2973410882189304,-0.3568432421081481,-0.0595021538892177,catch-up,Neither,Neither,Neither -> Neither
Algeria,DZA,Ambient PM2.5,-0.9648396795605634,-0.6398924392826713,0.3249472402778921,lag,Excess-only,Neither,Excess-only -> Neither
Algeria,DZA,Climate/transmission,-1.2743383664216472,-0.8894205778300784,0.3849177885915688,lag,Excess-only,Neither,Excess-only -> Neither
Algeria,DZA,HIV/TB,-0.5881028028947584,-0.589597280168164,-0.001494477273405681,catch-up,Excess-only,Neither,Excess-only -> Neither
Algeria,DZA,Health resources,-0.0829737627003285,0.4671665881111327,0.5501403508114612,lag,Excess-only,Neither,Excess-only -> Neither
