location_name,iso3,dominant_contextual_lag_domain,dominant_delta_z,has_positive_lag,number_of_positive_lag_domains,profile_2023,transition_pathway
Afghanistan,AFG,HIV/TB,0.2820139645061495,True,1,Structural high,Double-high -> Structural high
Angola,AGO,HIV/TB,0.8365861384231491,True,2,Neither,Double-high -> Neither
Albania,ALB,No positive contextual lag,0.0,False,0,Neither,Neither -> Neither
Andorra,AND,WASH,0.007419820212234529,True,1,Neither,Neither -> Neither
United Arab Emirates,ARE,Ambient PM2.5,0.4190898719787457,True,2,Excess-only,Excess-only -> Excess-only
Argentina,ARG,Health resources,1.9510985344235177,True,5,Neither,Neither -> Neither
Armenia,ARM,Ambient PM2.5,0.7185378506222053,True,2,Neither,Neither -> Neither
American Samoa,ASM,WASH,1.7141281118799785,True,5,Excess-only,Neither -> Excess-only
Antigua and Barbuda,ATG,Health resources,1.883149676747378,True,6,Excess-only,Neither -> Excess-only
Australia,AUS,Household energy/HAP,0.8730660216519324,True,3,Neither,Neither -> Neither
Austria,AUT,Household energy/HAP,0.7726100995493268,True,2,Neither,Neither -> Neither
Azerbaijan,AZE,Health resources,1.722571076754409,True,3,Excess-only,Double-high -> Excess-only
Burundi,BDI,Climate/transmission,0.28498806078521355,True,3,Structural high,Double-high -> Structural high
Belgium,BEL,Household energy/HAP,0.9445020196457412,True,2,Neither,Neither -> Neither
Benin,BEN,Immunisation/UHC,0.37333162732854686,True,3,Structural high,Structural high -> Structural high
Burkina Faso,BFA,WASH,0.32020452404401745,True,1,Neither,Structural high -> Neither
Bangladesh,BGD,Ambient PM2.5,0.3008859743066221,True,3,Structural high,Double-high -> Structural high
Bulgaria,BGR,WASH,1.4649468875488214,True,3,Excess-only,Excess-only -> Excess-only
Bahrain,BHR,Household energy/HAP,1.1170808131584076,True,6,Excess-only,Neither -> Excess-only
Bahamas,BHS,Immunisation/UHC,0.9475572308243713,True,3,Excess-only,Neither -> Excess-only
Bosnia and Herzegovina,BIH,WASH,1.1934005443658406,True,4,Neither,Neither -> Neither
Belarus,BLR,Health resources,0.46197310245567236,True,2,Neither,Neither -> Neither
Belize,BLZ,Immunisation/UHC,1.0966429968777451,True,6,Neither,Neither -> Neither
Bermuda,BMU,Ambient PM2.5,0.02887245675428185,True,2,Excess-only,Neither -> Excess-only
Bolivia (Plurinational State of),BOL,Immunisation/UHC,2.2257777941693364,True,5,Double-high,Double-high -> Double-high
Brazil,BRA,Immunisation/UHC,0.7944269162170954,True,3,Excess-only,Double-high -> Excess-only
Barbados,BRB,Ambient PM2.5,1.3930957578164267,True,5,Excess-only,Neither -> Excess-only
Brunei Darussalam,BRN,Ambient PM2.5,0.07438981355343455,True,1,Neither,Neither -> Neither
Bhutan,BTN,Climate/transmission,0.1732192058841795,True,1,Neither,Structural high -> Neither
Botswana,BWA,Household energy/HAP,0.4391253923595791,True,3,Excess-only,Neither -> Excess-only
Central African Republic,CAF,WASH,1.4198264504316547,True,5,Structural high,Double-high -> Structural high
Canada,CAN,Household energy/HAP,0.7474927449644311,True,4,Neither,Neither -> Neither
Switzerland,CHE,WASH,0.004594905206715905,True,1,Neither,Neither -> Neither
Chile,CHL,HIV/TB,0.8545752230405623,True,5,Neither,Neither -> Neither
China,CHN,Immunisation/UHC,1.5530569965119265,True,4,Excess-only,Double-high -> Excess-only
Côte d'Ivoire,CIV,Climate/transmission,0.07732168957693686,True,1,Neither,Structural high -> Neither
Cameroon,CMR,Climate/transmission,0.08530165023498432,True,2,Structural high,Structural high -> Structural high
Democratic Republic of the Congo,COD,WASH,0.9688888975194021,True,3,Structural high,Double-high -> Structural high
Congo,COG,Ambient PM2.5,0.7512955692553576,True,3,Neither,Double-high -> Neither
