location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
China,CHN,2023,Household energy/HAP,0.3222467757627022,same-year SDI-quintile peers,Household energy/HAP,Excess-only,False
China,CHN,2023,Ambient PM2.5,0.9834984725960628,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,True
China,CHN,2023,Climate/transmission,-0.3194556095391923,same-year SDI-quintile peers,Climate/transmission,Excess-only,False
China,CHN,2023,WASH,0.5993717040492773,same-year SDI-quintile peers,WASH,Excess-only,True
China,CHN,2023,Immunisation/UHC,1.9091233810359407,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,True
China,CHN,2023,HIV/TB,1.2230513354593209,same-year SDI-quintile peers,HIV/TB,Excess-only,True
China,CHN,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Excess-only,False
China,CHN,2023,Health resources,0.819553467493377,same-year SDI-quintile peers,Health resources,Excess-only,True
Democratic People's Republic of Korea,PRK,2023,Household energy/HAP,2.003750642448145,same-year SDI-quintile peers,Household energy/HAP,Structural high,True
Democratic People's Republic of Korea,PRK,2023,Ambient PM2.5,0.0424766409372239,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Democratic People's Republic of Korea,PRK,2023,Climate/transmission,-1.4148186949988422,same-year SDI-quintile peers,Climate/transmission,Structural high,False
Democratic People's Republic of Korea,PRK,2023,WASH,-0.50165750239844,same-year SDI-quintile peers,WASH,Structural high,False
Democratic People's Republic of Korea,PRK,2023,Immunisation/UHC,-0.4582033856961724,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Democratic People's Republic of Korea,PRK,2023,HIV/TB,,same-year SDI-quintile peers,HIV/TB,Structural high,False
Democratic People's Republic of Korea,PRK,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Democratic People's Republic of Korea,PRK,2023,Health resources,,same-year SDI-quintile peers,Health resources,Structural high,False
Taiwan,TWN,2023,Household energy/HAP,0.532849324304527,same-year SDI-quintile peers,Household energy/HAP,Excess-only,True
Taiwan,TWN,2023,Ambient PM2.5,0.0211333582923664,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Taiwan,TWN,2023,Climate/transmission,0.8045496542193694,same-year SDI-quintile peers,Climate/transmission,Excess-only,True
Taiwan,TWN,2023,WASH,,same-year SDI-quintile peers,WASH,Excess-only,False
Taiwan,TWN,2023,Immunisation/UHC,,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,False
Taiwan,TWN,2023,HIV/TB,,same-year SDI-quintile peers,HIV/TB,Excess-only,False
Taiwan,TWN,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Excess-only,False
Taiwan,TWN,2023,Health resources,,same-year SDI-quintile peers,Health resources,Excess-only,False
Cambodia,KHM,2023,Household energy/HAP,-1.4417649105609869,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Cambodia,KHM,2023,Ambient PM2.5,-0.7297725480220637,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Cambodia,KHM,2023,Climate/transmission,1.1243134847917935,same-year SDI-quintile peers,Climate/transmission,Structural high,True
Cambodia,KHM,2023,WASH,-1.147110762032908,same-year SDI-quintile peers,WASH,Structural high,False
Cambodia,KHM,2023,Immunisation/UHC,-0.7291544829352224,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Cambodia,KHM,2023,HIV/TB,0.0360908387304589,same-year SDI-quintile peers,HIV/TB,Structural high,False
Cambodia,KHM,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Cambodia,KHM,2023,Health resources,-0.9624693276631512,same-year SDI-quintile peers,Health resources,Structural high,False
Indonesia,IDN,2023,Household energy/HAP,-0.3324408534586824,same-year SDI-quintile peers,Household energy/HAP,Excess-only,False
Indonesia,IDN,2023,Ambient PM2.5,-0.3088460359343818,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Indonesia,IDN,2023,Climate/transmission,0.7121288476265398,same-year SDI-quintile peers,Climate/transmission,Excess-only,True
Indonesia,IDN,2023,WASH,0.7443693528233775,same-year SDI-quintile peers,WASH,Excess-only,True
Indonesia,IDN,2023,Immunisation/UHC,0.401002762008922,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,False
Indonesia,IDN,2023,HIV/TB,0.4904767622755989,same-year SDI-quintile peers,HIV/TB,Excess-only,False
Indonesia,IDN,2023,Nutrition,0.9694250928137216,same-year SDI-quintile peers,Nutrition,Excess-only,True
Indonesia,IDN,2023,Health resources,0.5458383455602132,same-year SDI-quintile peers,Health resources,Excess-only,True
Lao People's Democratic Republic,LAO,2023,Household energy/HAP,-0.7823044092194531,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Lao People's Democratic Republic,LAO,2023,Ambient PM2.5,-0.306134084086306,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Lao People's Democratic Republic,LAO,2023,Climate/transmission,0.35580536905126,same-year SDI-quintile peers,Climate/transmission,Structural high,False
Lao People's Democratic Republic,LAO,2023,WASH,-1.6438530144656616,same-year SDI-quintile peers,WASH,Structural high,False
Lao People's Democratic Republic,LAO,2023,Immunisation/UHC,-0.310695506873495,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Lao People's Democratic Republic,LAO,2023,HIV/TB,-0.4729139635736675,same-year SDI-quintile peers,HIV/TB,Structural high,False
Lao People's Democratic Republic,LAO,2023,Nutrition,0.5108786214971208,same-year SDI-quintile peers,Nutrition,Structural high,True
Lao People's Democratic Republic,LAO,2023,Health resources,0.4228990452479064,same-year SDI-quintile peers,Health resources,Structural high,False
Malaysia,MYS,2023,Household energy/HAP,0.1407015663279773,same-year SDI-quintile peers,Household energy/HAP,Excess-only,False
Malaysia,MYS,2023,Ambient PM2.5,-0.0062936177651863,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Malaysia,MYS,2023,Climate/transmission,1.4226663201037075,same-year SDI-quintile peers,Climate/transmission,Excess-only,True
Malaysia,MYS,2023,WASH,0.3156786047384651,same-year SDI-quintile peers,WASH,Excess-only,False
Malaysia,MYS,2023,Immunisation/UHC,-0.2793640198753435,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,False
Malaysia,MYS,2023,HIV/TB,1.5179330416109225,same-year SDI-quintile peers,HIV/TB,Excess-only,True
Malaysia,MYS,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Excess-only,False
Malaysia,MYS,2023,Health resources,1.0391445335378122,same-year SDI-quintile peers,Health resources,Excess-only,True
Maldives,MDV,2023,Household energy/HAP,-0.8762908858422638,same-year SDI-quintile peers,Household energy/HAP,Neither,False
