scenario_id,model_id,observed_rule,excess_rule,structural_n,excess_n,structural_clean_cooking_mean,excess_clean_cooking_mean,clean_cooking_difference_excess_minus_structural,structural_hap_pm_mean,excess_hap_pm_mean,hap_pm_difference_excess_minus_structural
sdi_spline_year_fe_main__top33_observed__top33_excess_rate,sdi_spline_year_fe_main,top33_observed,top33_excess_rate,45,23,20.16333333333333,70.78947368421052,50.62614035087719,258.83640016301774,104.33163809037964,-154.50476207263813
sdi_spline_year_fe_main__top33_observed__top25_excess_rate,sdi_spline_year_fe_main,top33_observed,top25_excess_rate,49,19,23.388541666666665,70.60624999999999,47.21770833333332,247.60009753103975,100.78215286282,-146.81794466821978
sdi_spline_year_fe_main__top33_observed__top20_excess_rate,sdi_spline_year_fe_main,top33_observed,top20_excess_rate,50,18,23.445918367346938,73.56666666666666,50.12074829931973,245.91322535060152,97.31135643802506,-148.60186891257646
sdi_spline_year_fe_main__top33_observed__top33_log_excess_ratio,sdi_spline_year_fe_main,top33_observed,top33_log_excess_ratio,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_spline_year_fe_main__top33_observed__top25_log_excess_ratio,sdi_spline_year_fe_main,top33_observed,top25_log_excess_ratio,52,16,24.66764705882353,76.4846153846154,51.81696832579186,244.03213843785164,84.84965529039013,-159.1824831474615
sdi_spline_year_fe_main__top33_observed__ratio_gt_1_2,sdi_spline_year_fe_main,top33_observed,ratio_gt_1_2,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_spline_year_fe_main__top33_observed__excess_rate_gt_0,sdi_spline_year_fe_main,top33_observed,excess_rate_gt_0,42,26,18.479761904761904,67.1,48.62023809523809,261.7678247594157,117.42373244304108,-144.3440923163746
sdi_spline_year_fe_main__top25_observed__top33_excess_rate,sdi_spline_year_fe_main,top25_observed,top33_excess_rate,37,14,13.502702702702702,68.97142857142856,55.468725868725855,273.11950074683864,127.90348716286326,-145.21601358397538
sdi_spline_year_fe_main__top25_observed__top25_excess_rate,sdi_spline_year_fe_main,top25_observed,top25_excess_rate,38,13,15.165789473684208,68.37692307692308,53.21113360323887,269.02996281292684,128.6870585401458,-140.34290427278103
sdi_spline_year_fe_main__top25_observed__top20_excess_rate,sdi_spline_year_fe_main,top25_observed,top20_excess_rate,39,12,15.448717948717947,71.89166666666667,56.44294871794872,266.3178224461628,125.80627270939722,-140.51154973676557
