iso3,location_name,n_scenarios,n_high_observed_high_excess,n_high_observed_not_high_excess,pct_high_observed_high_excess,pct_high_observed_not_high_excess
AFG,Afghanistan,84,0,84,0.0,1.0
AGO,Angola,84,0,0,0.0,0.0
ALB,Albania,84,0,0,0.0,0.0
AND,Andorra,84,0,0,0.0,0.0
ARE,United Arab Emirates,84,0,0,0.0,0.0
ARG,Argentina,84,0,0,0.0,0.0
ARM,Armenia,84,0,0,0.0,0.0
ASM,American Samoa,84,0,0,0.0,0.0
ATG,Antigua and Barbuda,84,0,0,0.0,0.0
AUS,Australia,84,0,0,0.0,0.0
AUT,Austria,84,0,0,0.0,0.0
AZE,Azerbaijan,84,0,0,0.0,0.0
BDI,Burundi,84,0,84,0.0,1.0
BEL,Belgium,84,0,0,0.0,0.0
BEN,Benin,84,0,56,0.0,0.6666666666666666
BFA,Burkina Faso,84,0,0,0.0,0.0
BGD,Bangladesh,84,0,84,0.0,1.0
BGR,Bulgaria,84,0,0,0.0,0.0
BHR,Bahrain,84,0,0,0.0,0.0
BHS,Bahamas,84,0,0,0.0,0.0
BIH,Bosnia and Herzegovina,84,0,0,0.0,0.0
BLR,Belarus,84,0,0,0.0,0.0
BLZ,Belize,84,0,0,0.0,0.0
BMU,Bermuda,84,0,0,0.0,0.0
BOL,Bolivia (Plurinational State of),84,7,21,0.0833333333333333,0.25
BRA,Brazil,84,0,0,0.0,0.0
BRB,Barbados,84,0,0,0.0,0.0
BRN,Brunei Darussalam,84,0,0,0.0,0.0
BTN,Bhutan,84,0,0,0.0,0.0
BWA,Botswana,84,0,0,0.0,0.0
CAF,Central African Republic,84,0,84,0.0,1.0
CAN,Canada,84,0,0,0.0,0.0
CHE,Switzerland,84,0,0,0.0,0.0
CHL,Chile,84,0,0,0.0,0.0
CHN,China,84,0,0,0.0,0.0
CIV,Côte d'Ivoire,84,0,0,0.0,0.0
CMR,Cameroon,84,0,28,0.0,0.3333333333333333
COD,Democratic Republic of the Congo,84,0,84,0.0,1.0
COG,Congo,84,0,0,0.0,0.0
COK,Cook Islands,84,0,0,0.0,0.0
COL,Colombia,84,0,0,0.0,0.0
COM,Comoros,84,0,84,0.0,1.0
CPV,Cabo Verde,84,0,0,0.0,0.0
CRI,Costa Rica,84,0,0,0.0,0.0
CUB,Cuba,84,0,0,0.0,0.0
CYP,Cyprus,84,0,0,0.0,0.0
CZE,Czechia,84,0,0,0.0,0.0
DEU,Germany,84,0,0,0.0,0.0
DJI,Djibouti,84,0,84,0.0,1.0
DMA,Dominica,84,0,0,0.0,0.0
DNK,Denmark,84,0,0,0.0,0.0
DOM,Dominican Republic,84,0,0,0.0,0.0
DZA,Algeria,84,0,0,0.0,0.0
ECU,Ecuador,84,0,0,0.0,0.0
EGY,Egypt,84,28,0,0.3333333333333333,0.0
ERI,Eritrea,84,0,84,0.0,1.0
ESP,Spain,84,0,0,0.0,0.0
EST,Estonia,84,0,0,0.0,0.0
