age_group_a,age_group_b,n_a,n_b,overlap_n,jaccard,overlap_iso3
u5,u5,23,23,23,1.0,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NGA;NIU;NRU;PAK;PHL;PSE;SYC;THA;TLS;TON;ZAF
u5,5_14,23,29,10,0.238095238095238,IND;KEN;KWT;LSO;NAM;NGA;PAK;PSE;TON;ZAF
u5,15_49,23,39,10,0.1923076923076923,EGY;IND;KEN;KWT;LSO;NAM;NGA;PSE;TON;ZAF
u5,50_69,23,41,10,0.1851851851851851,BOL;EGY;IND;KEN;LSO;NAM;NGA;PHL;PSE;ZAF
u5,5_69,23,44,7,0.1166666666666666,EGY;IND;KEN;NAM;NGA;NIU;ZAF
u5,70p,23,41,12,0.2307692307692307,BOL;EGY;IND;KEN;KWT;LSO;NAM;NGA;PAK;PHL;PSE;ZAF
u5,total,23,31,11,0.2558139534883721,EGY;IND;KEN;LSO;NAM;NGA;PAK;SYC;THA;TON;ZAF
5_14,u5,29,23,10,0.238095238095238,IND;KEN;KWT;LSO;NAM;NGA;PAK;PSE;TON;ZAF
5_14,5_14,29,29,29,1.0,BRA;CHN;COK;CPV;DJI;ERI;GHA;GNQ;IND;IRQ;JOR;KEN;KWT;LSO;MDG;MRT;NAM;NGA;PAK;PRK;PSE;STP;TON;TUN;TUV;TWN;TZA;ZAF;ZWE
5_14,15_49,29,39,20,0.4166666666666667,BRA;COK;CPV;DJI;ERI;GHA;GNQ;IND;KEN;KWT;LSO;MDG;MRT;NAM;NGA;PSE;STP;TON;ZAF;ZWE
5_14,50_69,29,41,18,0.3461538461538461,BRA;CPV;DJI;ERI;GHA;GNQ;IND;KEN;LSO;MRT;NAM;NGA;PSE;STP;TWN;TZA;ZAF;ZWE
5_14,5_69,29,44,17,0.3035714285714285,BRA;COK;CPV;DJI;ERI;GHA;IND;KEN;MDG;NAM;NGA;STP;TUN;TUV;TZA;ZAF;ZWE
5_14,70p,29,41,19,0.3725490196078431,BRA;CPV;DJI;ERI;GHA;GNQ;IND;KEN;KWT;LSO;MRT;NAM;NGA;PAK;PSE;STP;TZA;ZAF;ZWE
5_14,total,29,31,18,0.4285714285714285,BRA;COK;CPV;ERI;GHA;IND;KEN;LSO;MRT;NAM;NGA;PAK;STP;TON;TUN;TWN;ZAF;ZWE
15_49,u5,39,23,10,0.1923076923076923,EGY;IND;KEN;KWT;LSO;NAM;NGA;PSE;TON;ZAF
15_49,5_14,39,29,20,0.4166666666666667,BRA;COK;CPV;DJI;ERI;GHA;GNQ;IND;KEN;KWT;LSO;MDG;MRT;NAM;NGA;PSE;STP;TON;ZAF;ZWE
15_49,15_49,39,39,39,1.0,ASM;BRA;BWA;CMR;COG;COK;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNB;GNQ;IND;KEN;KWT;LSO;MDG;MNP;MRT;NAM;NGA;PER;PRY;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TON;TUR;ZAF;ZWE
15_49,50_69,39,41,32,0.6666666666666666,BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;LSO;MRT;NAM;NGA;PER;PRY;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;ZAF;ZWE
15_49,5_69,39,44,26,0.4561403508771929,ASM;BRA;BWA;COG;COK;COM;CPV;DJI;EGY;ERI;GHA;GIN;IND;KEN;MDG;MNP;NAM;NGA;PER;SAU;SLE;STP;TGO;TUR;ZAF;ZWE
15_49,70p,39,41,32,0.6666666666666666,BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;KWT;LSO;MRT;NAM;NGA;PER;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;ZAF;ZWE
15_49,total,39,31,22,0.4583333333333333,BRA;BWA;COK;COM;CPV;EGY;ERI;GAB;GHA;IND;KEN;LSO;MRT;NAM;NGA;PER;STP;SWZ;TON;TUR;ZAF;ZWE
50_69,u5,41,23,10,0.1851851851851851,BOL;EGY;IND;KEN;LSO;NAM;NGA;PHL;PSE;ZAF
50_69,5_14,41,29,18,0.3461538461538461,BRA;CPV;DJI;ERI;GHA;GNQ;IND;KEN;LSO;MRT;NAM;NGA;PSE;STP;TWN;TZA;ZAF;ZWE
50_69,15_49,41,39,32,0.6666666666666666,BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;LSO;MRT;NAM;NGA;PER;PRY;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;ZAF;ZWE
50_69,50_69,41,41,41,1.0,AGO;BOL;BRA;BWA;CMR;COD;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;LBN;LSO;MRT;MYS;NAM;NGA;OMN;PER;PHL;PRY;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;TWN;TZA;ZAF;ZWE
50_69,5_69,41,44,27,0.4655172413793103,BRA;BWA;COD;COG;COM;CPV;DJI;EGY;ERI;GHA;GIN;IND;KEN;LBN;MYS;NAM;NGA;OMN;PER;SAU;SLE;STP;TGO;TUR;TZA;ZAF;ZWE
50_69,70p,41,41,37,0.8222222222222222,AGO;BOL;BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;LBN;LSO;MRT;NAM;NGA;OMN;PER;PHL;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;TZA;ZAF;ZWE
50_69,total,41,31,22,0.44,BRA;BWA;COM;CPV;EGY;ERI;GAB;GHA;IND;KEN;LBN;LSO;MRT;NAM;NGA;PER;STP;SWZ;TUR;TWN;ZAF;ZWE
5_69,u5,44,23,7,0.1166666666666666,EGY;IND;KEN;NAM;NGA;NIU;ZAF
5_69,5_14,44,29,17,0.3035714285714285,BRA;COK;CPV;DJI;ERI;GHA;IND;KEN;MDG;NAM;NGA;STP;TUN;TUV;TZA;ZAF;ZWE
5_69,15_49,44,39,26,0.4561403508771929,ASM;BRA;BWA;COG;COK;COM;CPV;DJI;EGY;ERI;GHA;GIN;IND;KEN;MDG;MNP;NAM;NGA;PER;SAU;SLE;STP;TGO;TUR;ZAF;ZWE
5_69,50_69,44,41,27,0.4655172413793103,BRA;BWA;COD;COG;COM;CPV;DJI;EGY;ERI;GHA;GIN;IND;KEN;LBN;MYS;NAM;NGA;OMN;PER;SAU;SLE;STP;TGO;TUR;TZA;ZAF;ZWE
5_69,5_69,44,44,44,1.0,ASM;BRA;BWA;CIV;COD;COG;COK;COM;CPV;CUB;DJI;EGY;ERI;FSM;GHA;GIN;HTI;IND;ISR;KEN;LBN;MDG;MNP;MWI;MYS;NAM;NGA;NIU;OMN;PER;PLW;SAU;SEN;SLE;SLV;STP;TGO;TUN;TUR;TUV;TZA;UZB;ZAF;ZWE
5_69,70p,44,41,27,0.4655172413793103,BRA;BWA;CIV;COG;COM;CPV;CUB;DJI;EGY;ERI;GHA;GIN;IND;KEN;LBN;NAM;NGA;OMN;PER;SAU;SLE;STP;TGO;TUR;TZA;ZAF;ZWE
5_69,total,44,31,20,0.3636363636363636,BRA;BWA;COK;COM;CPV;CUB;EGY;ERI;GHA;IND;KEN;LBN;NAM;NGA;PER;STP;TUN;TUR;ZAF;ZWE
70p,u5,41,23,12,0.2307692307692307,BOL;EGY;IND;KEN;KWT;LSO;NAM;NGA;PAK;PHL;PSE;ZAF
70p,5_14,41,29,19,0.3725490196078431,BRA;CPV;DJI;ERI;GHA;GNQ;IND;KEN;KWT;LSO;MRT;NAM;NGA;PAK;PSE;STP;TZA;ZAF;ZWE
70p,15_49,41,39,32,0.6666666666666666,BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;KWT;LSO;MRT;NAM;NGA;PER;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;ZAF;ZWE
70p,50_69,41,41,37,0.8222222222222222,AGO;BOL;BRA;BWA;CMR;COG;COM;CPV;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;LBN;LSO;MRT;NAM;NGA;OMN;PER;PHL;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;TZA;ZAF;ZWE
70p,5_69,41,44,27,0.4655172413793103,BRA;BWA;CIV;COG;COM;CPV;CUB;DJI;EGY;ERI;GHA;GIN;IND;KEN;LBN;NAM;NGA;OMN;PER;SAU;SLE;STP;TGO;TUR;TZA;ZAF;ZWE
70p,70p,41,41,41,1.0,AGO;BOL;BRA;BWA;CIV;CMR;COG;COM;CPV;CUB;DJI;EGY;ERI;GAB;GHA;GIN;GMB;GNQ;IND;KEN;KWT;LBN;LSO;MRT;NAM;NGA;OMN;PAK;PER;PHL;PSE;RWA;SAU;SLE;STP;SWZ;TGO;TUR;TZA;ZAF;ZWE
70p,total,41,31,23,0.4693877551020408,BRA;BWA;COM;CPV;CUB;EGY;ERI;GAB;GHA;IND;KEN;LBN;LSO;MRT;NAM;NGA;PAK;PER;STP;SWZ;TUR;ZAF;ZWE
total,u5,31,23,11,0.2558139534883721,EGY;IND;KEN;LSO;NAM;NGA;PAK;SYC;THA;TON;ZAF
total,5_14,31,29,18,0.4285714285714285,BRA;COK;CPV;ERI;GHA;IND;KEN;LSO;MRT;NAM;NGA;PAK;STP;TON;TUN;TWN;ZAF;ZWE
total,15_49,31,39,22,0.4583333333333333,BRA;BWA;COK;COM;CPV;EGY;ERI;GAB;GHA;IND;KEN;LSO;MRT;NAM;NGA;PER;STP;SWZ;TON;TUR;ZAF;ZWE
total,50_69,31,41,22,0.44,BRA;BWA;COM;CPV;EGY;ERI;GAB;GHA;IND;KEN;LBN;LSO;MRT;NAM;NGA;PER;STP;SWZ;TUR;TWN;ZAF;ZWE
total,5_69,31,44,20,0.3636363636363636,BRA;BWA;COK;COM;CPV;CUB;EGY;ERI;GHA;IND;KEN;LBN;NAM;NGA;PER;STP;TUN;TUR;ZAF;ZWE
total,70p,31,41,23,0.4693877551020408,BRA;BWA;COM;CPV;CUB;EGY;ERI;GAB;GHA;IND;KEN;LBN;LSO;MRT;NAM;NGA;PAK;PER;STP;SWZ;TUR;ZAF;ZWE
