Domain,Indicator,Source,Years,Unit,Direction of adversity,Use in analysis
Outcome,Under-5 LRI incidence,GBD 2023,2000-2023 in current profile package; 1990-2023 in historical benchmark source,"rate per 100,000",higher incidence,Observed burden and profile classification
Development,Socio-demographic Index (SDI),GBD 2023 SDI,2000-2023,unitless index,lower development context,SDI-year benchmark and peer grouping
Household energy/HAP,Clean cooking; HAP-PM,WDI/GBD,2000-2023,%; micrograms per cubic metre,lower clean cooking; higher HAP-PM,Contextual domain score
WASH,Basic drinking water; basic sanitation,WDI/WHO/UNICEF-derived sources,2000-2023,% access,lower access,Contextual domain score
Immunisation/UHC,"DPT, Hib3, PCV3, UHC index",WHO/GHO and related sources,2000-2023,% or index,lower coverage,Contextual domain score
HIV/TB,HIV prevalence; TB incidence,WHO/UNAIDS-related sources,2000-2023,"%; per 100,000",higher background burden,Infectious-disease contextual domain
Nutrition,Stunting; wasting,World Bank/UNICEF/WHO-related sources,2000-2023,%,higher prevalence,Contextual domain score
Health resources,"Health expenditure, nurses/midwives, physicians",WDI/WHO/GHO,2000-2023,"USD or per 1,000",lower resources,Contextual domain score
Ambient PM2.5,Ambient fine particulate matter,GBD/PM2.5 source panel,2000-2023,micrograms per cubic metre,higher concentration,Contextual domain score
Climate/transmission,"Temperature, absolute humidity, outside-midrange relative-humidity days",ERA5/WorldPop processing,2000-2023,"degrees C, g/m3, days",more adverse climate/transmission context,Contextual domain score
