profile_2000,profile_2023,number_of_locations,locations
Double-high,Double-high,12,Bolivia (Plurinational State of); Egypt; India; Kenya; Lesotho; Namibia; Nauru; Nigeria; Pakistan; Philippines; South Africa; Timor-Leste
Double-high,Excess-only,6,Azerbaijan; Brazil; China; Iraq; Lebanon; Türkiye
Double-high,Neither,7,Angola; Congo; Equatorial Guinea; Gabon; Morocco; Peru; Viet Nam
Double-high,Structural high,18,Afghanistan; Bangladesh; Burundi; Cambodia; Central African Republic; Comoros; Democratic People's Republic of Korea; Democratic Republic of the Congo; Eritrea; Eswatini; Ethiopia; Haiti; Madagascar; Malawi; Nepal; Rwanda; United Republic of Tanzania; Yemen
Excess-only,Double-high,7,Guam; Kuwait; Libya; Mauritius; Niue; Seychelles; Thailand
Excess-only,Excess-only,15,Bulgaria; Cook Islands; Indonesia; Jordan; Malaysia; Northern Mariana Islands; Oman; Palau; Qatar; Saudi Arabia; Sri Lanka; Taiwan; Tunisia; Turkmenistan; United Arab Emirates
Excess-only,Neither,3,Algeria; Ecuador; Uzbekistan
Neither,Double-high,4,Fiji; Marshall Islands; Palestine; Tonga
Neither,Excess-only,24,American Samoa; Antigua and Barbuda; Bahamas; Bahrain; Barbados; Bermuda; Botswana; Croatia; Czechia; Dominica; Estonia; Georgia; Hungary; Latvia; Lithuania; Montenegro; Poland; Puerto Rico; Romania; Saint Kitts and Nevis; Singapore; Slovakia; Slovenia; United States Virgin Islands
Neither,Neither,73,Albania; Andorra; Argentina; Armenia; Australia; Austria; Belarus; Belgium; Belize; Bosnia and Herzegovina; Brunei Darussalam; Cabo Verde; Canada; Chile; Colombia; Costa Rica; Cuba; Cyprus; Denmark; Dominican Republic; El Salvador; Finland; France; Germany; Ghana; Greece; Greenland; Grenada; Guatemala; Guyana; Honduras; Iceland; Iran (Islamic Republic of); Ireland; Israel; Italy; Jamaica; Japan; Kazakhstan; Kyrgyzstan; Luxembourg; Maldives; Malta; Mexico; Micronesia (Federated States of); Monaco; Mongolia; Netherlands; New Zealand; Nicaragua; North Macedonia; Norway; Panama; Paraguay; Portugal; Republic of Korea; Republic of Moldova; Russian Federation; Saint Lucia; Saint Vincent and the Grenadines; San Marino; Serbia; Spain; Suriname; Sweden; Switzerland; Tajikistan; Trinidad and Tobago; Ukraine; United Kingdom; United States of America; Uruguay; Venezuela (Bolivarian Republic of)
Neither,Structural high,9,Kiribati; Mali; Papua New Guinea; Samoa; Solomon Islands; Syrian Arab Republic; Tuvalu; Vanuatu; Zimbabwe
Structural high,Neither,7,Bhutan; Burkina Faso; Côte d'Ivoire; Mozambique; Sao Tome and Principe; Senegal; Zambia
Structural high,Structural high,18,Benin; Cameroon; Chad; Djibouti; Gambia; Guinea; Guinea-Bissau; Lao People's Democratic Republic; Liberia; Mauritania; Myanmar; Niger; Sierra Leone; Somalia; South Sudan; Sudan; Togo; Uganda
