Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
Bolivia (Plurinational State of),BOL,Double-high,Double-high,Double-high -> Double-high,1.484863315264942,-2.4255843095865717,0.4778969937308959,1.4009455728496651,2.2257777941693364,-0.05365989968148782,,0.22296993120322106,Immunisation/UHC,2.2257777941693364,5
Egypt,EGY,Double-high,Double-high,Double-high -> Double-high,1.290745662530417,0.21563109093876265,0.31647337748745086,1.2604598085671905,0.8687175619203189,0.0010819140435089913,,1.0361216935568691,Household energy/HAP,1.290745662530417,7
Fiji,FJI,Neither,Double-high,Neither -> Double-high,0.9012546510877476,0.09583262673178128,-0.11610395029088227,0.7753344239856341,0.25034039781558204,0.2772216543008137,,0.6807569011356115,Household energy/HAP,0.9012546510877476,6
Guam,GUM,Excess-only,Double-high,Excess-only -> Double-high,-0.2371993253357536,0.09448486607026485,-0.10145204545826236,-0.3817738520203784,,0.1836519869548261,,,HIV/TB,0.1836519869548261,2
India,IND,Double-high,Double-high,Double-high -> Double-high,-0.7161765753803305,1.229182247133812,0.0931531279412038,-0.5060483787062936,-0.8464526971603972,-0.0417172785241096,,0.001757074227873856,Ambient PM2.5,1.229182247133812,3
Kenya,KEN,Double-high,Double-high,Double-high -> Double-high,0.5015945213705009,0.6703651795923032,0.21663824925596842,1.4522663085785283,-0.3138988212000123,-0.6099918149816994,,0.27960951877076223,WASH,1.4522663085785283,5
Kuwait,KWT,Excess-only,Double-high,Excess-only -> Double-high,-0.9144970549624245,0.4076064538526203,0.00046414023611550045,0.0074211980486913465,0.08345768438595613,-0.3502569047294747,,-0.6204068362114294,Ambient PM2.5,0.4076064538526203,4
Lesotho,LSO,Double-high,Double-high,Double-high -> Double-high,-1.1707836162273295,-0.1467706249220428,-0.7630642039643507,-0.6455737136845303,-0.7546642988931404,1.2608380570713487,,-1.530511431872946,HIV/TB,1.2608380570713487,1
Libya,LBY,Excess-only,Double-high,Excess-only -> Double-high,0.7619225816082382,-0.07664159016198721,-0.3008011750606418,1.1969685106445969,0.6561820124934931,0.7822511111608612,,0.43467208651918293,WASH,1.1969685106445969,5
Marshall Islands,MHL,Neither,Double-high,Neither -> Double-high,-0.1017897034885988,0.3306609739182367,-0.20652819348518936,1.2619620251134307,1.0229162196643278,3.184695013942118,,0.4716178536298705,HIV/TB,3.184695013942118,5
Mauritius,MUS,Excess-only,Double-high,Excess-only -> Double-high,0.5667605385975819,0.8948934858775185,0.3363442689517395,0.9180742784733473,-0.1981197665199509,0.21280788439937653,,0.4776971178088032,WASH,0.9180742784733473,6
Namibia,NAM,Double-high,Double-high,Double-high -> Double-high,0.5635060867028832,0.33820323496560367,0.3499007886082188,1.1421089002561389,0.22751070326965012,-0.7623669184581656,,1.9968404075362245,Health resources,1.9968404075362245,6
Nauru,NRU,Double-high,Double-high,Double-high -> Double-high,0.9214872600291326,0.32475015055408063,-0.1814526004255641,0.9384189779564227,-1.074742878018418,0.5165014092911541,,1.5497202965991987,Health resources,1.5497202965991987,5
